dataset_data_id,dataset_data_title,dataset_data_id_refer,dataset_data_subtitle1,dataset_data_subtitle2,dataset_data_subtitle3,dataset_data_subtitle4,main
507,"ต. ราไวย์ อ. เมืองภูเก็ต จ. ภูเก็ต 83100",152,"\N","\N","\N","\N","\N"
508,"ต. ราไวย์ อ. เมืองภูเก็ต จ. ภูเก็ต 83130",152,"\N","\N","\N","\N","\N"
509,"ต. เกาะลันตาน้อย อ. เกาะลันตา จ. กระบี่ 81150",152,"\N","\N","\N","\N","\N"
510,"ต. ดอนสัก อ. ดอนสัก จ. สุราษฎร์ธานี 84220",152,"\N","\N","\N","\N","\N"
511,"ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
512,"ต. อ่าวลึกน้อย อ. อ่าวลึก จ. กระบี่ 81110",152,"\N","\N","\N","\N","\N"
513,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
514,"ต. เกาะพระทอง อ. คุระบุรี จ. พังงา 82150",152,"\N","\N","\N","\N","\N"
515,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
516,"ต. กำพวน อ. สุขสำราญ จ. ระนอง 85120",152,"\N","\N","\N","\N","\N"
517,"ต. นาเกลือ อ. บางละมุง จ. ชลบุรี 20150",152,"\N","\N","\N","\N","\N"
518,"ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
519,"ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
520,"ต. อ่าวนาง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
521,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
522,"ต. ตะเสะ อ. หาดสำราญ จ. ตรัง 92120",152,"\N","\N","\N","\N","\N"
523,"ต. เกาะพะงัน อ. เกาะพะงัน จ. สุราษฎร์ธานี 84280",152,"\N","\N","\N","\N","\N"
524,"ต. เกาะหมาก อ. เกาะกูด จ. ตราด 23000",152,"\N","\N","\N","\N","\N"
525,"ต. บางชัน อ. ขลุง จ. จันทบุรี 22110",152,"\N","\N","\N","\N","\N"
526,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
527,"ต. เกาะลิบง อ. กันตัง จ. ตรัง 92110",152,"\N","\N","\N","\N","\N"
528,"ต. นาชะอัง อ. เมืองชุมพร จ. ชุมพร 86000",152,"\N","\N","\N","\N","\N"
529,"ต. เกาะลันตาน้อย อ. เกาะลันตา จ. กระบี่ 81150",152,"\N","\N","\N","\N","\N"
530,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
531,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
532,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
533,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
534,"ต. เกาะเปริด อ. แหลมสิงห์ จ. จันทบุรี 22130",152,"\N","\N","\N","\N","\N"
535,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
536,"ต. ตะเสะ อ. หาดสำราญ จ. ตรัง 92120",152,"\N","\N","\N","\N","\N"
537,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
538,"ต. ปากน้ำ อ. เมืองระนอง จ. ระนอง 85000",152,"\N","\N","\N","\N","\N"
539,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
540,"ต. เกาะหมาก อ. เกาะกูด จ. ตราด 23000",152,"\N","\N","\N","\N","\N"
541,"ต. ดอนสัก อ. ดอนสัก จ. สุราษฎร์ธานี 84220",152,"\N","\N","\N","\N","\N"
542,"ต. รัษฎา อ. เมืองภูเก็ต จ. ภูเก็ต 83000",152,"\N","\N","\N","\N","\N"
543,"ต. กร่ำ อ. แกลง จ. ระยอง 21190",152,"\N","\N","\N","\N","\N"
544,"ต. บ่อหิน อ. สิเกา จ. ตรัง 92150",152,"\N","\N","\N","\N","\N"
545,"ต. เกาะลิบง อ. กันตัง จ. ตรัง 92110",152,"\N","\N","\N","\N","\N"
546,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
547,"แขวง เสาชิงช้า เขต พระนคร กรุงเทพมหานคร 10200",152,"\N","\N","\N","\N","\N"
548,"ต. ราไวย์ อ. เมืองภูเก็ต จ. ภูเก็ต 83100",152,"\N","\N","\N","\N","\N"
549,"ต. ราไวย์ อ. เมืองภูเก็ต จ. ภูเก็ต 83130",152,"\N","\N","\N","\N","\N"
550,"ต. เกาะพระทอง อ. คุระบุรี จ. พังงา 82150",152,"\N","\N","\N","\N","\N"
551,"แขวง ศาลเจ้าพ่อเสือ เขต พระนคร กรุงเทพมหานคร 10200",152,"\N","\N","\N","\N","\N"
552,"ต. บางกะไชย อ. แหลมสิงห์ จ. จันทบุรี 22120",152,"\N","\N","\N","\N","\N"
553,"ต. แสมสาร อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
554,"ต. เกาะหมาก อ. เกาะกูด จ. ตราด 23000",152,"\N","\N","\N","\N","\N"
