id,product_code,product_names,product_category,product_details,unit,product_status,created_date,last_updated,bom_id,product_id,product_daterun,product_type,product_dimensions,product_expiration_date,product_selling_price,product_cost_price,product_wholesale_price,created_at,edata_id,tempId,updated_at,revision,status,id_oldsys
54,PROD,"ยื่นขอแก้ไขเปลี่ยนแปลงรายการละเอียดในใบรับแจ้งรายการละเอียด ผลิต และใบรับแจ้งรายการละเอียดนำเข้าเครื่องมือแพทย์","(OS) One Stop Service-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",54,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
55,PROD,ยื่นขอต่ออายุใบสำคัญการขึ้นทะเบียนวัตถุอันตราย,"(OS) One Stop Service-วัตถุอันตราย","\N","\N",ACTIVE,"\N","\N","\N",55,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
56,PROD,"รับการตรวจประเมินระบบ  GHPs&HACCP","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",56,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
57,PROD,"รับการตรวจประเมินระบบ FSSC22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",57,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
58,PROD,"รับการตรวจประเมินระบบ ISO22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",58,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
59,PROD,"ยื่นขอใบอนุญาตสถานที่ผลิตอาหาร (อ.1)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",59,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
60,PROD,"ยื่นขอขึ้นทะเบียนโรงงานผลิตสินค้าพืช (DOA)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",60,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
61,PROD,"การวิจัยและพัฒนา ดำเนินการปรับปรุงผลิตภัณฑ์ที่มีคุณภาพ R&D (Research & Development)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",61,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
62,PROD,ออกแบบและเขียนแปลนห้องเก็บอาหาร,"(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",62,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
63,PROD,"ตรวจประเมินเบื้องต้น (Pre Audit) เพื่อเตรียมความพร้อมในการยื่นขอการรับรองระบบ IFS","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",63,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
64,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) IFS","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",64,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
65,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) GHPs","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",65,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
