id,fo_id,qt_id,qt_description,qt_unit,qt_type,qt_price,qt_discount,discount_sum,sum,total,id_promotion,date_qt,flow,save,revision,id_refer,space,price_criteria
10436,0,2011000940,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8846,498,0
10438,0,2011000942,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8848,498,0
10451,0,2011000941,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,12000.00,0.00,0.00,12000.00,12000.00,0,0000-00-00,1,0,0,8859,0,0
10456,0,2011000937,"ยื่นขอใบอนุญาตสถานที่ผลิตอาหาร กรณีไม่เข้าข่ายโรงงาน (สบ.1) ",1,รายการ,60000.00,0.00,0.00,60000.00,60000.00,0,0000-00-00,1,0,1,8862,0,0
10457,0,2011000937,"ยื่นขอจดทะเบียน/จดแจ้งรายละเอียด (สบ.7)",1,รายการ,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,1,8862,0,0
10460,0,2009000744,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,12000.00,0.00,0.00,12000.00,12000.00,0,0000-00-00,1,0,1,8864,0,0
10462,0,2011000943,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,0,8865,498,0
10465,0,2009000697,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(Good Hygiene Practice  GHPs)",1,,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,1,8868,0,0
10467,0,2011000944,"ยื่นขอใบอนุญาตนำเข้าซึ่งอาหารเพื่อเป็นตัวอย่างสำหรับการขึ้นทะเบียนตำรับอาหาร หรือเพื่อพิจารณาในการสั่งซื้อ(อ.16)",1,รายการ,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,0,8870,0,0
10468,0,2011000945,"ข้อกำหนดและการประยุกต์ใช้ : มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร  (Good Hygiene Practice) GHPs",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,0,8871,276,0
10476,0,2005000405,"มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,144000.00,0.00,0.00,144000.00,144000.00,0,0000-00-00,1,0,2,8878,497,0
10480,0,2011000946,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8882,498,0
10481,0,2011000947,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,0,8883,498,0
10484,0,2009000672,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(Good Hygiene Practice  GHPs)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,1,8886,0,0
10502,0,2006000494,"ข้อกำหนดและการประยุกต์ใช้ : ระบบการบริหารงานคุณภาพ (ISO 9001:2015 Requirements & Implementation)  ",1,,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,1,8893,0,0
10503,0,2006000494,"ข้อกำหนดและการประยุกต์ใช้ : ระบบการจัดการสิ่งแวดล้อม (ISO14001:2015 Requirements & Implementation)  ",1,,15000.00,0.00,0.00,15000.00,15000.00,0,0000-00-00,1,0,1,8893,0,0
10513,0,2009000743,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,2,8898,0,0
10514,0,2009000743,"การตรวจติดตามภายในระบบความปลอดภัยอาหาร (IQA Training For GHPs/HACCP)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,2,8898,0,0
10516,0,2011000948,"แนวทางและวิธีการที่ดีในการผลิตเครื่องสำอางของอาเซียน (Asian guidelines for cosmetic Good Manufacturing Practice)",1,รายการ,140000.00,0.00,0.00,140000.00,140000.00,0,0000-00-00,1,0,0,8900,89,0
10517,0,2011000949,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8901,498,0
10521,0,2008000595,"ข้อกำหนดและการประยุกต์ใช้ระบบความปลอดภัยอาหาร (Food Safety System Certification) FSSC22000 5.0",1,,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,2,8903,0,0
10522,0,2008000595,"ข้อกำหนดและการประยุกต์ใช้ระบบการบริหารงานคุณภาพ (ISO9001:2015 Requirements & Implementation)",1,,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,2,8903,0,0
10523,0,2008000595,"ข้อกำหนดและการประยุกต์ใช้ระบบการจัดการสิ่งแวดล้อม (ISO14001:2015 Requirements & Implementation)  ",2,,12000.00,0.00,0.00,24000.00,24000.00,0,0000-00-00,1,0,2,8903,0,0
10533,0,2008000595,"ข้อกำหนดและการประยุกต์ใช้ระบบความปลอดภัยอาหาร (Food Safety System Certification) FSSC22000 5.0",2,MD,13000.00,0.00,0.00,26000.00,26000.00,0,0000-00-00,1,0,3,8907,0,0
10534,0,2008000595,"ข้อกำหนดและการประยุกต์ใช้ระบบการบริหารงานคุณภาพ (ISO9001:2015 Requirements & Implementation)",1,MD,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,3,8907,0,0
10535,0,2008000595,"ข้อกำหนดและการประยุกต์ใช้ระบบการจัดการสิ่งแวดล้อม (ISO14001:2015 Requirements & Implementation)  ",2,MD,12000.00,0.00,0.00,24000.00,24000.00,0,0000-00-00,1,0,3,8907,0,0
10536,0,2011000950,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,15000.00,0.00,0.00,15000.00,15000.00,0,0000-00-00,1,0,0,8908,498,0
10537,0,2011000951,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,0,8909,498,0
